SampleID	Reference	Type	n_mapped	pct_mapped
P12653_1001	TorqueTenoVirus	1-TA278	0	0.00
P12653_1001	TorqueTenoVirus	1-TA278	0	0.00
P12653_1002	TorqueTenoVirus	1-TA278	210674	9.15
P12653_1002	TorqueTenoVirus	1-TA278	308	5.51
P12653_1003	TorqueTenoVirus	1-TA278	0	0.00
P12653_1003	TorqueTenoVirus	1-TA278	10	0.11
P12653_1004	TorqueTenoVirus	1-TA278	1151	9.96
P12653_1004	TorqueTenoVirus	1-TA278	533422	9.69
P12653_1005	TorqueTenoVirus	1-TA278	0	0.00
P12653_1005	TorqueTenoVirus	1-TA278	32	0.04
P12653_1006	TorqueTenoVirus	1-TA278	310	3.82
P12653_1006	TorqueTenoVirus	1-TA278	799679	12.84
P12752_1001	TorqueTenoVirus	1-TA278	0	0.00
P12752_1001	TorqueTenoVirus	1-TA278	1	0.00
P12752_1002	TorqueTenoVirus	1-TA278	282954	6.81
P12752_1002	TorqueTenoVirus	1-TA278	70	2.41
P12752_1003	TorqueTenoVirus	1-TA278	0	0.00
P12752_1003	TorqueTenoVirus	1-TA278	0	0.00
P12752_1004	TorqueTenoVirus	1-TA278	10336	3.71
P12752_1004	TorqueTenoVirus	1-TA278	13	2.54
P12752_1005	TorqueTenoVirus	1-TA278	0	0.00
P12752_1005	TorqueTenoVirus	1-TA278	2	0.03
P12752_1006	TorqueTenoVirus	1-TA278	193323	9.36
P12752_1006	TorqueTenoVirus	1-TA278	198	9.29
P12752_1007	TorqueTenoVirus	1-TA278	0	0.00
P12752_1007	TorqueTenoVirus	1-TA278	0	0.00
P12752_1008	TorqueTenoVirus	1-TA278	33480	0.58
P12752_1008	TorqueTenoVirus	1-TA278	9	0.06
P12752_1009	TorqueTenoVirus	1-TA278	0	0.00
P12752_1009	TorqueTenoVirus	1-TA278	0	0.00
P12752_1009	TorqueTenoVirus	1-TA278	0	0.00
P12752_1009	TorqueTenoVirus	1-TA278	0	0.00
P12752_1010	TorqueTenoVirus	1-TA278	129146	6.81
P12752_1010	TorqueTenoVirus	1-TA278	255	5.04
P12752_1011	TorqueTenoVirus	1-TA278	0	0.00
P12752_1011	TorqueTenoVirus	1-TA278	8	0.00
P12752_1012	TorqueTenoVirus	1-TA278	1	2.94
P12752_1012	TorqueTenoVirus	1-TA278	827	6.41
P12752_1013	TorqueTenoVirus	1-TA278	0	0.00
P12752_1013	TorqueTenoVirus	1-TA278	16	0.02
P12752_1014	TorqueTenoVirus	1-TA278	29179	7.28
P12752_1014	TorqueTenoVirus	1-TA278	36	4.42
P12752_1015	TorqueTenoVirus	1-TA278	0	0.00
P12752_1015	TorqueTenoVirus	1-TA278	2	0.00
P12752_1016	TorqueTenoVirus	1-TA278	476970	9.07
P12752_1016	TorqueTenoVirus	1-TA278	968	9.68
P12752_1017	TorqueTenoVirus	1-TA278	0	0.00
P12752_1017	TorqueTenoVirus	1-TA278	7	0.03
P12752_1018	TorqueTenoVirus	1-TA278	291174	7.54
P12752_1018	TorqueTenoVirus	1-TA278	671	5.15
P12752_1019	TorqueTenoVirus	1-TA278	0	0.00
P12752_1019	TorqueTenoVirus	1-TA278	0	0.00
P12752_1020	TorqueTenoVirus	1-TA278	54807	1.46
P12752_1020	TorqueTenoVirus	1-TA278	88	0.72
P12752_1021	TorqueTenoVirus	1-TA278	0	0.00
P12752_1021	TorqueTenoVirus	1-TA278	3	0.00
P12752_1022	TorqueTenoVirus	1-TA278	30566	8.56
